# File: A23.TechCoef_elec_grid.csv
# Title: grid elec coef
# Units: NA
# Commnet: Technology is the same as subsector within grid region
# Column types: ccccicnc
# ----------
region,supplysector,subsector,technology,year,minicam.energy.input,coefficient,market.name
KEPCO,electricity,SU electricity,SU electricity,1975,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,1990,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2005,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2010,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2015,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2020,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2025,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2030,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2035,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2040,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2045,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2050,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2055,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2060,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2065,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2070,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2075,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2080,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2085,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2090,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2095,electricity,1,SU
KEPCO,electricity,SU electricity,SU electricity,2100,electricity,1,SU
KEPCO,electricity,IC electricity,IC electricity,1975,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,1990,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2005,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2010,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2015,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2020,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2025,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2030,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2035,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2040,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2045,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2050,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2055,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2060,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2065,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2070,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2075,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2080,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2085,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2090,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2095,electricity,1,IC
KEPCO,electricity,IC electricity,IC electricity,2100,electricity,1,IC
KEPCO,electricity,DJ electricity,DJ electricity,1975,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,1990,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2005,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2010,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2015,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2020,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2025,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2030,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2035,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2040,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2045,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2050,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2055,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2060,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2065,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2070,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2075,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2080,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2085,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2090,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2095,electricity,1,DJ
KEPCO,electricity,DJ electricity,DJ electricity,2100,electricity,1,DJ
KEPCO,electricity,DG electricity,DG electricity,1975,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,1990,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2005,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2010,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2015,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2020,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2025,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2030,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2035,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2040,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2045,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2050,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2055,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2060,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2065,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2070,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2075,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2080,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2085,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2090,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2095,electricity,1,DG
KEPCO,electricity,DG electricity,DG electricity,2100,electricity,1,DG
KEPCO,electricity,GJ electricity,GJ electricity,1975,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,1990,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2005,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2010,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2015,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2020,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2025,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2030,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2035,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2040,electricity,1,GJ
KEPCO,electricity,GJ electricity,GJ electricity,2045,electricity,1,GJ
