# File: A44.flsp_bm2_korea_res.csv
# Title: Residential floorspace by state
# Units: Billion m2
# Source: 건축데이터개방
#Comment: 2011년 연면적을 2010년으로 사용/ 2010년 이전 값은 의미 없음
# Column types: ncn
# ----------
year,state,flsp_bm2
1971,SU,0.029757009
1971,IC,0.004197871
1971,DJ,0.002850499
1971,DG,0.006735704
1971,GJ,0.003368363
1971,BS,0.010797048
1971,US,0.001501255
1971,GG,0.013688092
1971,GW,0.009588292
1971,CB,0.007641447
1971,CN,0.011916074
1971,JB,0.012525817
1971,JN,0.017181445
1971,GB,0.016970432
1971,GN,0.014075971
1971,JJ,0.001921534
1972,SU,0.031090379
1972,IC,0.004375748
1972,DJ,0.002955803
1972,DG,0.006991099
1972,GJ,0.003473482
1972,BS,0.011373415
1972,US,0.001589973
1972,GG,0.014173241
1972,GW,0.009579706
1972,CB,0.007673907
1972,CN,0.011888333
1972,JB,0.012545703
1972,JN,0.017041798
1972,GB,0.016997647
1972,GN,0.014118329
1972,JJ,0.001967543
1973,SU,0.032412173
1973,IC,0.004553621
1973,DJ,0.003058613
1973,DG,0.007239702
1973,GJ,0.00357331
1973,BS,0.011953057
1973,US,0.001682093
1973,GG,0.014660623
1973,GW,0.00955739
1973,CB,0.007700516
1973,CN,0.0118486
1973,JB,0.012546705
1973,JN,0.016881628
1973,GB,0.017005942
1973,GN,0.014143922
1973,JJ,0.002012441
1974,SU,0.033751314
1974,IC,0.004734183
1974,DJ,0.003160726
1974,DG,0.007487058
1974,GJ,0.003669938
1974,BS,0.012547602
1974,US,0.00177851
1974,GG,0.015153937
1974,GW,0.009525557
1974,CB,0.007722266
1974,CN,0.011798948
1974,JB,0.012533756
1974,JN,0.016705824
1974,GB,0.01699921
1974,GN,0.014156535
1974,JJ,0.002055991
1975,SU,0.035089654
1975,IC,0.004915732
1975,DJ,0.00326071
1975,DG,0.007731939
1975,GJ,0.003761963
1975,BS,0.013149931
1975,US,0.001878249
1975,GG,0.01565245
1975,GW,0.009482332
1975,CB,0.00774611
1975,CN,0.011750309
1975,JB,0.012512738
1975,JN,0.016531563
1975,GB,0.016994766
1975,GN,0.014170546
1975,JJ,0.002100087
1976,SU,0.040088741
1976,IC,0.005668469
1976,DJ,0.003753527
1976,DG,0.008851
1976,GJ,0.004262138
1976,BS,0.015137746
1976,US,0.002221514
1976,GG,0.017844036
1976,GW,0.010330531
1976,CB,0.008397996
1976,CN,0.012728875
1976,JB,0.013549177
1976,JN,0.017774789
1976,GB,0.018399513
1976,GN,0.01547644
1976,JJ,0.002358585
1977,SU,0.045385038
1977,IC,0.006478617
1977,DJ,0.004280845
1977,DG,0.010035945
1977,GJ,0.004784619
1977,BS,0.017263146
1977,US,0.002604311
1977,GG,0.020167633
1977,GW,0.011161724
1977,CB,0.009025452
1977,CN,0.013669945
1977,JB,0.014546387
1977,JN,0.018951028
1977,GB,0.019744646
1977,GN,0.016749714
1977,JJ,0.002628058
1978,SU,0.050990678
1978,IC,0.007350009
1978,DJ,0.004843693
1978,DG,0.011289355
1978,GJ,0.005328803
1978,BS,0.019533816
1978,US,0.003031211
1978,GG,0.022626047
1978,GW,0.011969041
1978,CB,0.009624558
1978,CN,0.014567275
1978,JB,0.015497304
1978,JN,0.020048933
1978,GB,0.021022735
1978,GN,0.017985166
1978,JJ,0.002907254
1979,SU,0.056912163
1979,IC,0.008286847
1979,DJ,0.005443159
1979,DG,0.012611739
1979,GJ,0.005894151
1979,BS,0.02195664
1979,US,0.003508626
1979,GG,0.025228014
1979,GW,0.012756248
1979,CB,0.010199142
1979,CN,0.015425934
1979,JB,0.016406983
1979,JN,0.021083595
1979,GB,0.022243861
1979,GN,0.019190527
1979,JJ,0.003197198
1980,SU,0.063174508
1980,IC,0.00929829
1980,DJ,0.006083274
1980,DG,0.014008823
1980,GJ,0.006482604
1980,BS,0.024548468
1980,US,0.004046768
1980,GG,0.027995799
1980,GW,0.013530558
1980,CB,0.01075412
1980,CN,0.016249329
1980,JB,0.017277953
1980,JN,0.022061359
1980,GB,0.023417024
1980,GN,0.020372376
1980,JJ,0.003498589
1981,SU,0.069482214
1981,IC,0.010386865
1981,DJ,0.006659069
1981,DG,0.015326908
1981,GJ,0.007214448
1981,BS,0.026856367
1981,US,0.004513689
1981,GG,0.030620597
1981,GW,0.014375889
1981,CB,0.011420041
1981,CN,0.017238891
1981,JB,0.018314094
1981,JN,0.023197677
1981,GB,0.024797039
1981,GN,0.021713026
1981,JJ,0.003784532
1982,SU,0.075924395
1982,IC,0.011446906
1982,DJ,0.007237654
1982,DG,0.016723281
1982,GJ,0.007992309
1982,BS,0.029077669
1982,US,0.00501205
1982,GG,0.033716075
1982,GW,0.015206076
1982,CB,0.012079075
1982,CN,0.018201949
1982,JB,0.019381048
1982,JN,0.024299092
1982,GB,0.026077915
1982,GN,0.023175436
1982,JJ,0.004059937
1983,SU,0.082578914
1983,IC,0.012518436
1983,DJ,0.007865565
1983,DG,0.018138916
1983,GJ,0.008788708
1983,BS,0.031257069
1983,US,0.005540224
1983,GG,0.037644063
1983,GW,0.015917079
1983,CB,0.01268844
1983,CN,0.019063938
1983,JB,0.020303816
1983,JN,0.025243277
1983,GB,0.027179276
1983,GN,0.024671709
1983,JJ,0.004333167
1984,SU,0.089326188
1984,IC,0.013776828
1984,DJ,0.008585375
1984,DG,0.019544002
1984,GJ,0.009560675
1984,BS,0.033456528
1984,US,0.0060882
1984,GG,0.041869349
1984,GW,0.016504953
1984,CB,0.013231151
1984,CN,0.019734171
1984,JB,0.021072858
1984,JN,0.026034258
1984,GB,0.028108875
1984,GN,0.026101775
1984,JJ,0.004594865
1985,SU,0.095568599
1985,IC,0.015143699
1985,DJ,0.009354414
1985,DG,0.020925132
1985,GJ,0.010343123
1985,BS,0.035651001
1985,US,0.006645343
1985,GG,0.046152264
1985,GW,0.017101797
1985,CB,0.013786716
1985,CN,0.020392036
1985,JB,0.021821578
1985,JN,0.026813253
1985,GB,0.029027522
1985,GN,0.027412865
1985,JJ,0.00484457
1986,SU,0.101179437
1986,IC,0.016418915
1986,DJ,0.009942005
1986,DG,0.022289464
1986,GJ,0.010950733
1986,BS,0.037846886
1986,US,0.007072065
1986,GG,0.051555414
1986,GW,0.017736606
1986,CB,0.014400376
1986,CN,0.021294642
1986,JB,0.02255874
1986,JN,0.027845731
1986,GB,0.029965199
1986,GN,0.028692731
1986,JJ,0.005097945
1987,SU,0.107163877
1987,IC,0.017767702
1987,DJ,0.010507168
1987,DG,0.023692265
1987,GJ,0.011529803
1987,BS,0.040188543
1987,US,0.007588532
1987,GG,0.057094134
1987,GW,0.018258211
1987,CB,0.015001185
1987,CN,0.022180998
1987,JB,0.023226228
1987,JN,0.028691013
1987,GB,0.030931294
1987,GN,0.029929462
1987,JJ,0.00535342
1988,SU,0.114376995
1988,IC,0.019271165
1988,DJ,0.011092006
1988,DG,0.02513526
1988,GJ,0.012156939
1988,BS,0.042530367
1988,US,0.008235925
1988,GG,0.061985185
1988,GW,0.018637652
1988,CB,0.015562986
1988,CN,0.022990559
1988,JB,0.0238542
1988,JN,0.029298868
1988,GB,0.031817976
1988,GN,0.031204932
1988,JJ,0.005620251
1989,SU,0.121994919
1989,IC,0.020976871
1989,DJ,0.011790214
1989,DG,0.026640097
1989,GJ,0.012927142
1989,BS,0.044702422
1989,US,0.008960482
1989,GG,0.066886437
1989,GW,0.018889933
1989,CB,0.016142311
1989,CN,0.023717664
1989,JB,0.024453288
1989,JN,0.029837706
1989,GB,0.032610045
1989,GN,0.032495247
1989,JJ,0.005905303
1990,SU,0.128144093
1990,IC,0.023208058
1990,DJ,0.01267567
1990,DG,0.028056164
1990,GJ,0.013764398
1990,BS,0.046535191
1990,US,0.009715678
1990,GG,0.073070744
1990,GW,0.019109663
1990,CB,0.01680786
1990,CN,0.024372009
1990,JB,0.025043058
1990,JN,0.030349084
1990,GB,0.033476371
1990,GN,0.033968722
1990,JJ,0.006224695
1991,SU,0.134961587
1991,IC,0.025537219
1991,DJ,0.013981359
1991,DG,0.030088755
1991,GJ,0.01489393
1991,BS,0.049240382
1991,US,0.010698158
1991,GG,0.081206889
1991,GW,0.01995184
1991,CB,0.017840989
1991,CN,0.025149252
1991,JB,0.02609125
1991,JN,0.030905456
1991,GB,0.035252353
1991,GN,0.03619577
1991,JJ,0.006573666
1992,SU,0.141720327
1992,IC,0.028019914
1992,DJ,0.015372478
1992,DG,0.032167293
1992,GJ,0.016071687
1992,BS,0.051953297
1992,US,0.011744448
1992,GG,0.090009733
1992,GW,0.020779308
1992,CB,0.018885064
1992,CN,0.025886834
1992,JB,0.027115298
1992,JN,0.031409731
1992,GB,0.03701623
1992,GN,0.038457372
1992,JJ,0.006925672
1993,SU,0.14830981
1993,IC,0.030644371
1993,DJ,0.016842052
1993,DG,0.034266633
1993,GJ,0.01728608
1993,BS,0.054640895
1993,US,0.0128504
1993,GG,0.099459849
1993,GW,0.021572312
1993,CB,0.019921324
1993,CN,0.026564702
1993,JB,0.02809192
1993,JN,0.031838422
1993,GB,0.038735902
1993,GN,0.040723687
1993,JJ,0.007274869
1994,SU,0.15472986
1994,IC,0.033413994
1994,DJ,0.018393718
1994,DG,0.036386982
1994,GJ,0.01853703
1994,BS,0.057308166
1994,US,0.014018042
1994,GG,0.109595563
1994,GW,0.022331217
1994,CB,0.020949939
1994,CN,0.02718917
1994,JB,0.029023405
1994,JN,0.032200553
1994,GB,0.040415469
1994,GN,0.042996124
1994,JJ,0.007621061
1995,SU,0.160974603
1995,IC,0.036324638
1995,DJ,0.020029464
1995,DG,0.038528472
1995,GJ,0.019822265
1995,BS,0.059960184
1995,US,0.015247367
1995,GG,0.120438272
1995,GW,0.023063618
1995,CB,0.021976277
1995,CN,0.027770786
1995,JB,0.02991507
1995,JN,0.032510204
1995,GB,0.042063315
1995,GN,0.04527508
1995,JJ,0.007963572
1996,SU,0.165477621
1996,IC,0.038561112
1996,DJ,0.0213438
1996,DG,0.040396623
1996,GJ,0.020977879
1996,BS,0.062101313
1996,US,0.016205199
1996,GG,0.131986357
1996,GW,0.024070522
1996,CB,0.023233587
1996,CN,0.029280863
1996,JB,0.031218887
1996,JN,0.033716692
1996,GB,0.044213998
1996,GN,0.047770757
1996,JJ,0.008341369
1997,SU,0.170918048
1997,IC,0.040906875
1997,DJ,0.022622577
1997,DG,0.042173476
1997,GJ,0.022253032
1997,BS,0.064263151
1997,US,0.017162755
1997,GG,0.14276536
1997,GW,0.025162857
1997,CB,0.024528036
1997,CN,0.030937766
1997,JB,0.032484748
1997,JN,0.034897679
1997,GB,0.046386449
1997,GN,0.05027271
1997,JJ,0.00872221
1998,SU,0.176524369
1998,IC,0.043279853
1998,DJ,0.023856308
1998,DG,0.043943819
1998,GJ,0.023542572
1998,BS,0.066300382
1998,US,0.017967741
1998,GG,0.152476823
1998,GW,0.02637378
1998,CB,0.025803861
1998,CN,0.032566635
1998,JB,0.033807229
1998,JN,0.036193439
1998,GB,0.048455596
1998,GN,0.052694364
1998,JJ,0.009117723
1999,SU,0.182936134
1999,IC,0.04546769
1999,DJ,0.025110355
1999,DG,0.045782475
1999,GJ,0.024811684
1999,BS,0.068398592
1999,US,0.018715672
1999,GG,0.162101071
1999,GW,0.027574845
1999,CB,0.027041119
1999,CN,0.034082361
1999,JB,0.035172854
1999,JN,0.037463062
1999,GB,0.050506039
1999,GN,0.055058129
1999,JJ,0.009522447
2000,SU,0.190424181
2000,IC,0.04765996
2000,DJ,0.026392755
2000,DG,0.047780902
2000,GJ,0.026119865
2000,BS,0.070525144
2000,US,0.019567953
2000,GG,0.172814973
2000,GW,0.028636179
2000,CB,0.028235093
2000,CN,0.035507422
2000,JB,0.036409263
2000,JN,0.038449177
2000,GB,0.052400105
2000,GN,0.057354756
2000,JJ,0.009904012
2001,SU,0.197383737
2001,IC,0.049896253
2001,DJ,0.027727999
2001,DG,0.049592191
2001,GJ,0.027422373
2001,BS,0.072693677
2001,US,0.020477145
2001,GG,0.184864133
2001,GW,0.029666113
2001,CB,0.029325982
2001,CN,0.036808428
2001,JB,0.037483193
2001,JN,0.03934731
2001,GB,0.053926555
2001,GN,0.059611915
2001,JJ,0.010338554
2002,SU,0.203254717
2002,IC,0.052016403
2002,DJ,0.028995217
2002,DG,0.051191041
2002,GJ,0.028753536
2002,BS,0.074531616
2002,US,0.021377581
2002,GG,0.198495743
2002,GW,0.030550313
2002,CB,0.030255256
2002,CN,0.037957982
2002,JB,0.038346503
2002,JN,0.039699521
2002,GB,0.055348635
2002,GN,0.06209273
2002,JJ,0.010795361
2003,SU,0.209784118
2003,IC,0.053764563
2003,DJ,0.030360414
2003,DG,0.052896777
2003,GJ,0.02991642
2003,BS,0.076231377
2003,US,0.022194885
2003,GG,0.21203714
2003,GW,0.031365355
2003,CB,0.03115301
2003,CN,0.039109557
2003,JB,0.039085093
2003,JN,0.040293855
2003,GB,0.056503969
2003,GN,0.064653703
2003,JJ,0.011210562
2004,SU,0.21669027
2004,IC,0.055430275
2004,DJ,0.031494774
2004,DG,0.054611424
2004,GJ,0.031144115
2004,BS,0.07812325
2004,US,0.023010327
2004,GG,0.224535249
2004,GW,0.03226997
2004,CB,0.032134867
2004,CN,0.040783886
2004,JB,0.03973163
2004,JN,0.040551234
2004,GB,0.057548562
