# File: A44.globaltech_cost.csv
# Title: Building technology costs
# Units: 1975$/GJ
# Column types: cccnnnnnnnnnn
# ----------
supplysector,subsector,technology,1971,1990,2005,2020,2035,2050,2065,2080,2095,2100
resid heating,biomass,wood furnace,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417
resid heating,coal,coal furnace,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417,0.9417
resid heating,gas,gas furnace,1.3739,1.3739,1.3739,1.3739,1.3739,1.3739,1.3739,1.3739,1.3739,1.3739
resid heating,electricity,electric furnace,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951,1.2951
resid heating,refined liquids,fuel furnace,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423,1.8423
resid cooling,gas,gas cooling,11.2422,11.2422,11.2422,11.2422,11.2422,11.2422,11.2422,11.2422,11.2422,11.2422
resid cooling,electricity,air conditioning,6.7124,6.7124,6.7124,6.7124,6.7124,6.7124,6.7124,6.7124,6.7124,6.7124
resid others,gas,gas,3.0015,3.0015,3.0015,3.0015,3.0015,3.0015,3.0015,3.0015,3.0015,3.0015
resid others,electricity,electricity,2.5727,2.5727,2.5727,2.5727,2.5727,2.5727,2.5727,2.5727,2.5727,2.5727
resid others,refined liquids,refined liquids,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424
resid others,biomass,biomass,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004
resid others,coal,coal,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336
comm heating,biomass,wood furnace,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
comm heating,coal,coal furnace,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885,0.9885
comm heating,gas,gas furnace,1.5357,1.5357,1.5357,1.5357,1.5357,1.5357,1.5357,1.5357,1.5357,1.5357
comm heating,electricity,electric furnace,1.2799,1.2799,1.2799,1.2799,1.2799,1.2799,1.2799,1.2799,1.2799,1.2799
comm heating,refined liquids,fuel boiler,1.7065,1.7065,1.7065,1.7065,1.7065,1.7065,1.7065,1.7065,1.7065,1.7065
comm cooling,gas,gas cooling,4.9495,4.9495,4.9495,4.9495,4.9495,4.9495,4.9495,4.9495,4.9495,4.9495
comm cooling,electricity,air conditioning,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63,2.63
comm others,gas,gas,3.0853,3.0853,3.0853,3.0853,3.0853,3.0853,3.0853,3.0853,3.0853,3.0853
comm others,electricity,electricity,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214,2.6214
comm others,refined liquids,refined liquids,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424,3.3424
comm others,biomass,biomass,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004,3.2004
comm others,coal,coal,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336,2.1336
