# File: A44.globaltech_shrwt.csv
# Title: Building default technology shareweights
# Units: Unitless
# Column types: ccciii
# ----------
supplysector,subsector,technology,1971,2010,2100
resid heating,biomass,wood furnace,1,1,1
resid heating,coal,coal furnace,1,0,0
resid heating,gas,gas furnace,1,1,1
resid heating,electricity,electric furnace,1,1,1
resid heating,refined liquids,fuel furnace,1,1,1
resid cooling,electricity,air conditioning,1,1,1
resid cooling,gas,gas cooling,1,1,1
resid others,gas,gas,1,1,1
resid others,electricity,electricity,1,1,1
resid others,biomass,biomass,1,1,1
resid others,coal,coal,1,1,1
resid others,refined liquids,refined liquids,1,1,1
comm heating,biomass,wood furnace,1,1,1
comm heating,coal,coal furnace,1,0,0
comm heating,gas,gas furnace,1,1,1
comm heating,electricity,electric furnace,1,1,1
comm heating,refined liquids,fuel boiler,1,1,1
comm cooling,gas,gas cooling,1,1,1
comm cooling,electricity,air conditioning,1,1,1
comm others,gas,gas,1,1,1
comm others,electricity,electricity,1,1,1
comm others,refined liquids,refined liquids,1,1,1
comm others,biomass,biomass,1,1,1
comm others,coal,coal,1,1,1
