# File: A44.subsector_interp.csv
# Title: Building default subsector shareweight interpolation
# Units: NA
# Column types: cccccic
# ----------
supplysector,subsector,apply.to,from.year,to.year,to.value,interpolation.function
comm cooling,gas,share-weight,final-calibration-year,end-year,,fixed
comm cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,biomass,share-weight,final-calibration-year,end-year,,fixed
comm heating,coal,share-weight,final-calibration-year,2020,0,linear
comm heating,coal,share-weight,2020,end-year,,fixed
comm heating,gas,share-weight,final-calibration-year,end-year,,fixed
comm heating,electricity,share-weight,final-calibration-year,end-year,,fixed
comm heating,refined liquids,share-weight,final-calibration-year,end-year,,fixed
comm others,gas,share-weight,final-calibration-year,end-year,,fixed
comm others,electricity,share-weight,final-calibration-year,end-year,,fixed
comm others,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid cooling,gas,share-weight,final-calibration-year,end-year,,fixed
resid cooling,electricity,share-weight,final-calibration-year,end-year,,fixed
resid heating,biomass,share-weight,final-calibration-year,end-year,,fixed
resid heating,coal,share-weight,final-calibration-year,2020,0,linear
resid heating,coal,share-weight,2020,end-year,,fixed
resid heating,gas,share-weight,final-calibration-year,end-year,,fixed
resid heating,electricity,share-weight,final-calibration-year,end-year,,fixed
resid heating,refined liquids,share-weight,final-calibration-year,end-year,,fixed
resid others,gas,share-weight,final-calibration-year,end-year,,fixed
resid others,electricity,share-weight,final-calibration-year,end-year,,fixed
resid others,refined liquids,share-weight,final-calibration-year,end-year,,fixed
