# File: Census_pop_hist.csv
# Title: Population by state
# Units: persons
# Description: KOSIS 주요 인구지표/시도 (중위추계 시나리오)
# Source: http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1BPB002&conn_path=I3
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii
# ----------
state,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
SU,5685932,5940442,6206625,6470497,6737832,7005007,7300852,7598734,7900077,8205097,8516450,8795571,9058650,9317088,9558806,9725447,9815245,9931649,10147107,10379344,10473252,10461122,10445852,10420119,10385314,10342224,10195359,10115549,10051237,10035810,10078434,10091137,10049183,10041419,10051611,10028631,10057373,10068563,10111880,10138867,10088611
IC,803730,838028,873538,909047,945093,981336,1032326,1084703,1138750,1194725,1253487,1314846,1365747,1412411,1474260,1541084,1592771,1646661,1709667,1784715,1896801,1979437,2065278,2153047,2242714,2333769,2375816,2421017,2464340,2494341,2522462,2550919,2571760,2573467,2571244,2581406,2606698,2642899,2689010,2699716,2722990
DJ,548414,569050,590072,610596,630981,650941,683582,716734,750442,784747,820076,842954,863535,887444,918722,951943,964457,973775,984042,1003113,1035986,1083721,1133067,1183308,1234568,1286844,1315028,1338886,1358370,1377545,1396869,1417579,1433562,1453216,1460948,1469868,1481261,1493931,1501152,1508164,1515009
DG,1294646,1344660,1395645,1445274,1494654,1543540,1611920,1680300,1749080,1818250,1888506,1940193,1995279,2046550,2091406,2129426,2162263,2195733,2229908,2266543,2293038,2332235,2370971,2407544,2442258,2475360,2488905,2495979,2502146,2511610,2528863,2535374,2530953,2531930,2533260,2509168,2490045,2483535,2480984,2481714,2479781
GJ,651380,672432,693417,713346,732636,751007,776209,801080,825601,849767,873909,913258,953574,991599,1023089,1052558,1062312,1068550,1078519,1099843,1124968,1154456,1184604,1214505,1244187,1273532,1292483,1317015,1340506,1361160,1382426,1401954,1421613,1431964,1444682,1445390,1448384,1456365,1465274,1479146,1493632
BS,2045828,2155433,2270494,2386209,2504899,2625143,2756845,2890337,3026409,3165516,3309338,3399677,3469299,3526625,3580187,3627990,3671462,3724562,3773138,3803288,3803334,3816713,3829348,3839022,3846467,3852295,3826168,3803326,3775121,3752322,3732630,3716425,3684942,3648852,3623903,3590291,3563009,3538031,3514331,3497197,3476658
US,282596,299698,317409,335799,355047,374958,404576,436035,469631,505843,545538,571376,597995,625084,651499,676257,686049,703284,730661,762359,794065,829234,865654,902858,940877,979606,998430,1015754,1023077,1026735,1035658,1046883,1056936,1062369,1067380,1071339,1076340,1079299,1091665,1098027,1099035
GG,2636096,2732577,2829428,2926725,3025206,3124725,3249707,3376630,3505494,3637154,3774067,3876181,4022714,4247247,4480444,4696641,5001303,5291325,5499098,5690707,5972092,6294496,6634393,6987963,7355945,7737864,8131905,8449371,8681978,8892806,9146445,9451079,9813893,10149261,10415516,10625127,10853412,11056824,11266554,11413244,11618962
GW,1913786,1914127,1912413,1907958,1901603,1892974,1881368,1868787,1854385,1839084,1824032,1819806,1814259,1795868,1766197,1740348,1720598,1692120,1653464,1607158,1561838,1546504,1531591,1515652,1498849,1481781,1483026,1489229,1501714,1512746,1515605,1516664,1510448,1501318,1496907,1488881,1481855,1476484,1480389,1485148,1488794
CB,1516178,1525475,1531955,1537267,1541609,1546369,1529420,1511115,1491150,1470423,1449745,1445633,1441172,1431592,1415867,1402992,1396956,1390268,1380691,1373390,1373711,1382888,1391971,1399655,1406139,1411922,1431461,1451658,1469263,1483466,1494377,1499275,1495860,1491154,1490640,1484736,1486522,1494268,1508721,1517120,1524279
CN,2379036,2378826,2373288,2365356,2355444,2345734,2318148,2288734,2256934,2223976,2190545,2182226,2171701,2150917,2111756,2075176,2065757,2055673,2039638,2017902,1991931,1949365,1908054,1866413,1824910,1784205,1804044,1831009,1854333,1869746,1879274,1881811,1876693,1871998,1891842,1918287,1942739,1972847,2012542,2040220,2077637
JB,2490827,2500550,2504520,2504720,2502135,2497939,2467539,2435475,2401025,2365415,2329212,2318333,2312381,2290808,2255009,2220652,2188385,2152542,2116257,2080489,2046776,2022381,1998601,1973714,1948022,1921970,1923449,1922565,1924972,1929570,1927005,1916308,1895902,1870827,1843031,1816604,1801414,1791609,1788455,1791713,1795819
JN,3449700,3429961,3402083,3370108,3335012,3300224,3237096,3172936,3106217,3039648,2974055,2936533,2899160,2848110,2785929,2728625,2701267,2659003,2599288,2538596,2480439,2395539,2315133,2236940,2161269,2088701,2077343,2065371,2060842,2055210,2034970,2011610,1962797,1928685,1881050,1851257,1829648,1805854,1794149,1785309,1777282
GB,3373973,3387836,3393269,3394925,3393581,3392694,3350869,3305810,3257090,3206925,3156810,3138992,3111394,3066542,3007934,2953958,2906873,2866626,2822774,2774467,2736033,2732475,2728374,2721551,2712646,2702465,2724100,2745318,2759045,2770743,2773340,2756966,2736510,2704590,2669505,2651702,2652689,2643478,2639236,2634167,2630443
GN,2794945,2810010,2818466,2823575,2826093,2828890,2818527,2804374,2786474,2766722,2746366,2748595,2765095,2783622,2793154,2789644,2783433,2773779,2768387,2764700,2776273,2805601,2834597,2861211,2885857,2908813,2943238,2975321,3000399,3020469,3035571,3047627,3069947,3094681,3101595,3110041,3123201,3136517,3166472,3192481,3217263
JJ,373760,383599,392784,401747,410441,419244,429539,440011,450426,460944,471639,479074,484397,488896,491697,493003,494543,496140,498608,502424,508746,509537,510474,511126,511518,511640,513926,516212,519160,522398,524182,528553,533737,536599,539405,541833,543702,543134,543894,545602,547917
