# File: EIA_use_all_Bbtu.csv,,,
# Title: EIA State Energy Data from SEDS,,,
# Units: Energy units in Billion BTU,,,
# Source:  https://www.eia.gov/state/seds/seds-data-complete.php?sid=US,,,
# Column types: ccciiiiiiiiiiiiiiiiinnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn,,,
# ----------,,,
Data_Status,State,MSN,2010
2011F,A,ABICB,-4
2011F,A,ARICB,582
2011F,A,ARTCB,582
2011F,A,ARTXB,582
2011F,A,AVACB,854
2011F,A,AVTCB,854
2011F,A,AVTXB,854
2011F,A,BMTCB,4950
2011F,A,CLACB,0
2011F,A,CLCCB,8533
2011F,A,CLEIB,5958
2011F,A,CLICB,57
2011F,A,CLKCB,0
2011F,A,CLOCB,57
2011F,A,CLRCB,0
2011F,A,CLTCB,14548
2011F,A,CLTXB,8590
2011F,A,COICB,0
2011F,A,DFACB,43053
2011F,A,DFCCB,11212
2011F,A,DFEIB,2850
2011F,A,DFICB,14309
2011F,A,DFRCB,8766
2011F,A,DFTCB,80190
2011F,A,DFTXB,77340
2011F,A,DKEIB,2850
2011F,A,ELEXB,0
2011F,A,ELIMB,4
2011F,A,ELISB,0
2011F,A,ELNIB,4
2011F,A,EMACB,2547
2011F,A,EMCCB,61
2011F,A,EMICB,79
2011F,A,EMLCB,0
2011F,A,EMTCB,2688
2011F,A,ESACB,0
2011F,A,ESCCB,9655
2011F,A,ESICB,4518
2011F,A,ESRCB,7142
2011F,A,ESTCB,21315
2011F,A,ESTXB,21315
2011F,A,FFTCB,623586
2011F,A,FNICB,0
2011F,A,FOICB,0
2011F,A,FSICB,0
2011F,A,GDPRX,43591
2011F,A,GECCB,74
2011F,A,GEEGB,0
2011F,A,GEICB,0
2011F,A,GERCB,79
2011F,A,GETCB,153
2011F,A,GETXB,153
2011F,A,HYCCB,0
2011F,A,HYEGB,13982
2011F,A,HYICB,0
2011F,A,HYTCB,13982
2011F,A,HYTXB,0
2011F,A,JFACB,128857
2011F,A,JFTCB,128857
2011F,A,JFTXB,128857
2011F,A,JKACB,128857
2011F,A,JKTCB,128857
2011F,A,JNACB,0
2011F,A,JNTCB,0
2011F,A,KSCCB,92
2011F,A,KSICB,2
2011F,A,KSRCB,83
2011F,A,KSTCB,176
2011F,A,KSTXB,176
2011F,A,LGACB,3
2011F,A,LGCCB,578
2011F,A,LGICB,183
2011F,A,LGRCB,589
2011F,A,LGTCB,1353
2011F,A,LGTXB,1353
2011F,A,LOACB,0
2011F,A,LOCCB,19699
2011F,A,LOICB,9217
2011F,A,LORCB,14572
2011F,A,LOTCB,43488
2011F,A,LOTXB,43488
2011F,A,LUACB,469
2011F,A,LUICB,103
2011F,A,LUTCB,572
2011F,A,LUTXB,572
2011F,A,MBICB,0
2011F,A,MGACB,34013
2011F,A,MGCCB,819
2011F,A,MGICB,1053
2011F,A,MGTCB,35885
2011F,A,MGTXB,35885
2011F,A,MMTCB,33197
2011F,A,MSICB,0
2011F,A,NAICB,0
2011F,A,NGACB,3320
2011F,A,NGCCB,15998
2011F,A,NGEIB,39963
2011F,A,NGICB,256892
2011F,A,NGLPB,250453
2011F,A,NGPZB,3300
2011F,A,NGRCB,18806
2011F,A,NGTCB,334978
2011F,A,NGTXB,295016
2011F,A,NGVHB,20
2011F,A,NNACB,3320
2011F,A,NNCCB,15998
2011F,A,NNEIB,39963
2011F,A,NNICB,256892
2011F,A,NNRCB,18806
2011F,A,NNTCB,334978
2011F,A,NUEGB,0
2011F,A,NUETB,0
2011F,A,P1ICB,26808
2011F,A,P1TCB,28305
2011F,A,P1TXB,28305
2011F,A,PAACB,207461
2011F,A,PACCB,12700
2011F,A,PAEIB,4773
2011F,A,PAICB,42375
2011F,A,PARCB,9438
2011F,A,PATCB,276747
2011F,A,PATXB,271974
2011F,A,PCCCB,0
2011F,A,PCEIB,0
2011F,A,PCICB,0
2011F,A,PCTCB,0
2011F,A,PLICB,0
2011F,A,PMTCB,274059
2011F,A,POICB,26121
2011F,A,POTCB,26121
2011F,A,POTXB,26121
2011F,A,PPICB,0
2011F,A,RETCB,19214
2011F,A,RFACB,212
2011F,A,RFCCB,0
2011F,A,RFEIB,1923
2011F,A,RFICB,23
2011F,A,RFTCB,2158
2011F,A,RFTXB,235
2011F,A,SFCCB,0
2011F,A,SFEIB,0
