# File: GDP_Growth.csv
# Title: GDP growth rate
# Units:  Unitless
# Source: socioeconomics/SSP_database_v9.csv (MODEL=IIASA GDP|SCENARIO=SSP2_v9_130219)
# Column types: in
# ----------
year,value
2015,1.083063117
2020,1.02233225
2025,1.007635647
2030,1.021952101
2035,1.032396185
2040,1.030685906
2045,1.023690819
2050,1.016050134
2055,1.010636658
2060,1.007981833
2065,1.007622963
2070,1.009091526
2075,1.011097293
2080,1.012435026
2085,1.012686758
2090,1.011923375
2095,1.012085684
2100,1.011188432
