# File: GRDP_09WON_state.csv
# Title: Real GDP per capita by State
# Units:  2009 Thou. Won per capita
# Source: ????????(????)?? 1???? ????????????, ??????????, ???????? (KOSIS), GDP ??????????(ECOS)
# Column types: iciiiiiiiiiiiiiiiiiiiii
# ----------
Fips,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,SU,17121,16152,18127,19854,20608,22435,22967,22948,23939,25096,26415,26930,26946,27837,28782,29497,29864,30668,31494,32522,33177
0,IC,14982,13036,13796,14540,15445,17023,17310,18260,18649,19704,20829,19743,19926,21612,21426,21028,21395,22602,23862,24796,25066
0,DJ,12002,11194,11842,12908,13044,13977,14479,14852,15160,15754,16252,16578,16931,17680,18533,18937,19062,19662,20075,20874,21234
0,DG,10584,9575,10485,11215,11474,12116,12360,12955,13366,14149,14760,14801,14513,15081,15928,16379,16927,17497,17994,17991,17960
0,GJ,11724,10289,11083,11973,12482,13237,13159,13477,14508,15537,16330,16211,16113,17134,17654,18158,18533,19361,19629,20111,20541
0,BS,10910,10471,11480,11968,12889,13547,14372,14846,15367,16041,16932,17815,17355,17771,18294,18549,19059,19863,20601,21014,21175
0,US,0,32275,35290,37560,38658,41088,39280,44045,44140,45794,49466,51095,47864,55436,58989,59437,56264,54188,54425,55069,56143
0,GG,14078,12967,15042,16418,17003,17686,17844,18509,19060,19912,20502,20746,20793,22239,22284,22724,24221,24976,25819,26387,28195
0,GW,13955,12982,13915,14418,14661,15409,16462,16810,17246,18433,19406,19570,19601,19941,20664,21253,21989,22910,23715,24480,25019
0,CB,15632,14461,16390,17053,17166,18050,18553,20515,20246,21855,22838,22673,22962,25100,26238,26415,28243,29243,29989,31506,33153
0,CN,17667,16745,19303,21261,21928,23727,25799,27756,29155,30529,31898,32962,35171,38803,41556,42088,42707,44152,44300,44430,44882
0,JB,12643,11402,12540,13367,13809,14456,14748,15571,15943,17006,17855,18429,19389,19774,21082,21009,21861,22510,22608,22799,23159
0,JN,17633,17126,17931,18873,19759,20956,22391,24610,25275,25625,28176,30254,28871,32671,33634,34250,32697,32443,33119,33966,34568
0,GB,16803,15656,17417,19330,19562,20701,22050,24510,25416,26046,26611,27682,27702,29790,29682,30368,31366,32304,32246,32976,33477
0,GN,20094,15325,16534,17704,18811,19838,20286,21145,22222,23315,24826,26059,26050,26339,26831,27657,28458,28432,28387,28760,28310
0,JJ,12693,11660,12648,13341,13764,14890,15376,16224,16597,17043,17760,17784,18870,19282,20412,21398,21679,22478,23309,24479,24772
