# File: GRDP_97WON_state.csv
# Title: Real GDP per capita by State
# Units:  1997 Thou. Won per capita
# Source: ????????(????)?? 1???? ????????????, ??????????, ???????? (KOSIS), GDP ??????????(ECOS)
# Column types: iccccccccccccccccccccccciiiiiiiiiiiii
# ----------
Fips,Area,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,SU,,,,,,,,,,,,,,,,,,,,,,,5099,5677,6272,6726,7180,7851,8718,9329,9970,10732,11645,12404,13079
0,IC,,,,,,,,,,,,,,,,,,,,,,,5857,6288,6742,7476,7806,8387,9400,9256,9422,9653,10617,10996,11445
0,DJ,,,,,,,,,,,,,,,,,,,,,,,,,,,6431,7119,7783,7969,8196,8135,8379,8817,9168
0,DG,,,,,,,,,,,,,,,,,,,,,,,3946,4419,4956,5164,5341,5911,6128,6202,6270,6753,7239,7693,8085
0,GJ,,,,,,,,,,,,,,,,,,,,,,,,,4172,5047,5412,6129,6505,6837,7060,7626,8251,8771,8956
0,BS,,,,,,,,,,,,,,,,,,,,,,,4158,4465,4879,5177,5249,5920,6372,6329,6578,6986,7601,8048,8334
0,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,GG,,,,,,,,,,,,,,,,,,,,,,,5785,6339,6875,7674,8202,8756,9426,9574,9873,10340,10816,10886,10754
0,GW,,,,,,,,,,,,,,,,,,,,,,,4634,5100,5665,6038,6482,7074,7397,7607,7794,8412,9248,10257,10660
0,CB,,,,,,,,,,,,,,,,,,,,,,,4785,4811,5129,5711,6309,6953,7755,8270,9015,10038,11250,12066,11941
0,CN,,,,,,,,,,,,,,,,,,,,,,,4166,4615,4883,5487,5548,5894,6699,7588,8526,9886,11112,12198,13496
0,JB,,,,,,,,,,,,,,,,,,,,,,,3340,3706,3936,4397,4631,5025,5637,6206,6676,7828,8339,9144,9658
0,JN,,,,,,,,,,,,,,,,,,,,,,,3727,4040,4521,5320,5605,6189,7210,8188,9010,9370,11335,12170,13470
0,GB,,,,,,,,,,,,,,,,,,,,,,,4969,5650,6439,7524,7666,7966,8714,8866,9137,10277,11010,11511,12836
0,GN,,,,,,,,,,,,,,,,,,,,,,,6045,6663,7233,8120,8451,9358,10100,11170,11425,12677,13837,14319,15350
0,JJ,,,,,,,,,,,,,,,,,,,,,,,3530,3751,4344,4810,5583,5941,6841,6989,7243,8183,9166,9385,9696
