# File: KEEI_use_all_KTOE.csv
# Title: State Energy Balance Table from KEEI
# Units: (KTOE)KiloTonne of Oil Equivalent
# Source: Connection with KEEI researcher
# Column types: cccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
Data_Status,State,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
2011F,BS,BMCC,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054,41.85177883800054
2011F,BS,CLCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,ELCC,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462,143.48219418657462
2011F,BS,GSCC,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378,260.3170426573378
2011F,BS,HDCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,NCCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,RLCC,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895,187.71258327220895
2011F,BS,RCCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011F,BS,RPCC,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702,4.879473348171702
2011F,BS,ELIS,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582,-2473.329513030582
2011F,BS,BMEI,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311,20.10007322067311
