# File: NREL_Com_PV_supply_curve.csv
# Title: PV supply curve for commercial buildings
# Units: Rel_Cost - Unitless
# Source: Denholm, P. & Margolis, R. Supply Curves for Rooftop Solar PV-Generated Electricity for the United States. National Renewable Energy Laboratory, Technical Report NREL / TP-6A0-44073 (2008) - www.nrel.gov
# Column types: ccnnn
# ----------
State,angle,MW,GWH,Rel_Cost
AAA,Flat,133.2,81.8,2.63
AAA,180 10,349.3,241.7,2.33
AAA,180 25,292.1,226.4,2.08
AAA,210 10,28.4,19.4,2.37
AAA,210 25,61.6,46.4,2.14
AAA,240 10,28.4,18.6,2.47
AAA,240 25,61.6,42.4,2.34
AAA,150 10,28.4,19.3,2.37
AAA,150 25,61.6,46.1,2.15
AAA,120 10,28.4,18.4,2.49
AAA,120 25,61.6,41.9,2.37
BBB,Flat,884.6,966.2,1.48
BBB,180 10,2319.6,2721.4,1.38
BBB,180 25,1939.5,2391.1,1.31
BBB,210 10,188.7,219.3,1.39
BBB,210 25,408.9,494,1.34
BBB,240 10,188.7,213.5,1.43
BBB,240 25,408.9,466.2,1.42
BBB,150 10,188.7,219.1,1.39
BBB,150 25,408.9,492.4,1.34
BBB,120 10,188.7,212.9,1.43
BBB,120 25,408.9,462.5,1.43
CCC,Flat,4299.9,4957.8,1.4
CCC,180 10,11275.2,13866.6,1.31
CCC,180 25,9427.9,12087.5,1.26
CCC,210 10,917.3,1120.6,1.32
CCC,210 25,1987.5,2510,1.28
CCC,240 10,917.3,1094.4,1.35
CCC,240 25,1987.5,2388.1,1.34
CCC,150 10,917.3,1115.6,1.33
CCC,150 25,1987.5,2480.2,1.29
CCC,120 10,917.3,1085.9,1.36
CCC,120 25,1987.5,2340.8,1.37
