# File: NREL_Res_PV_supply_curve.csv
# Title: PV supply curve for residential buildings
# Units: Relative_Cost - Unitless
# Source: Denholm, P. & Margolis, R. Supply Curves for Rooftop Solar PV-Generated Electricity for the United States. National Renewable Energy Laboratory, Technical Report NREL / TP-6A0-44073 (2008) - www.nrel.gov
# Column types: cccnnn
# ----------
State,TMY_Site,Pitch,MW,MWh,Relative_Cost
AAA,GA Atlanta,Pitch S,6.933888717,11862.23813,1.304203236
AAA,FL Tallahassee,Pitch S,34.10252187,58234.10178,1.306604529
AAA,AL Montgomery,Pitch S,372.5111788,627874.9506,1.323735443
AAA,GA Columbus,Pitch S,148.2936389,249051.9589,1.328518494
AAA,FL Tallahassee,10 S,35.347699,59188.85712,1.332466313
AAA,FL Tallahassee,Pitch SW,34.10252187,56995.5481,1.334997972
AAA,GA Atlanta,Pitch SE,6.933888717,11581.12025,1.335861214
AAA,GA Atlanta,10 S,7.187064119,11984.93258,1.337984148
AAA,FL Tallahassee,Pitch SE,34.10252187,56838.71264,1.338681641
AAA,GA Atlanta,Pitch SW,6.933888717,11531.57003,1.341601301
AAA,AL Montgomery,10 S,386.1125893,637497.8153,1.351357653
AAA,AL Montgomery,Pitch SW,372.5111788,614082.4142,1.35346707
AAA,AL Birmingham,Pitch S,771.0135379,1269502.866,1.355075091
AAA,MS Meridian,Pitch S,50.39061895,82834.0701,1.357299646
AAA,AL Montgomery,Pitch SE,372.5111788,611587.0242,1.35898947
AAA,GA Columbus,10 S,153.7082487,252234.008,1.359654541
AAA,GA Columbus,Pitch SE,148.2936389,242952.3656,1.36187245
AAA,GA Columbus,Pitch SW,148.2936389,242852.273,1.362433751
AAA,AL Huntsville,Pitch S,444.9027213,721935.1531,1.374997527
AAA,MS Meridian,10 S,52.23051943,84018.64418,1.387023183
AAA,AL Birmingham,Pitch SE,771.0135379,1239085.496,1.388339802
AAA,MS Meridian,Pitch SW,50.39061895,80904.61579,1.389669216
AAA,AL Birmingham,10 S,799.1653687,1282958.007,1.389822244
AAA,AL Mobile,Pitch S,304.4805725,488618.3578,1.390352275
AAA,MS Meridian,Pitch SE,50.39061895,80739.73888,1.39250703
AAA,AL Birmingham,Pitch SW,771.0135379,1234277.217,1.393748251
AAA,FL Tallahassee,Flat,35.347699,56275.32772,1.40145178
AAA,AL Huntsville,10 S,461.1473468,730158.6259,1.409151017
AAA,AL Huntsville,Pitch SW,444.9027213,703279.5867,1.411471439
AAA,AL Huntsville,Pitch SE,444.9027213,701055.7079,1.415948888
AAA,GA Atlanta,Flat,7.187064119,11322.18403,1.416303583
AAA,TN Chattanooga,Pitch S,47.86127589,75370.9626,1.416821877
AAA,AL Mobile,Pitch SE,304.4805725,478528.4959,1.41966811
AAA,AL Mobile,10 S,315.597998,495785.7857,1.420284058
AAA,AL Montgomery,Flat,386.1125893,605483.7302,1.422808754
AAA,AL Mobile,Pitch SW,304.4805725,476912.6915,1.424478018
AAA,GA Columbus,Flat,153.7082487,238855.3096,1.43581114
AAA,TN Chattanooga,10 S,49.60882309,76191.58678,1.45273684
AAA,TN Chattanooga,Pitch SW,47.86127589,73367.92053,1.455503004
AAA,TN Chattanooga,Pitch SE,47.86127589,73313.59245,1.456581585
