# File: PRIMA_pop.csv
# Title: 2005-2065 population projections by state
# Units: Persons
# Description: KOSIS 주요 인구지표/시도 (2005-2045중위추계 시나리오/2050-2065출산율 OECD 평균 추계)
# Source: http://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1BPB002&conn_path=I3
# Column types: ciiiiiiiiiiiiiiiiiiii
# ----------
state,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
BS,3590291,3476658,3452260,3396020,3341609,3281203,3205714,3104248,2978044,2952416,2913316,2892074,2854666,2821206,2760364,2703657,2638053,2581158,2524953,2483097
CB,1484736,1524279,1589264,1629704,1672870,1709661,1733101,1737373,1721366,1706552,1683952,1671674,1650051,1630710,1595542,1562764,1524843,1491957,1459469,1435275
CN,1918287,2077637,2102811,2203891,2291157,2363022,2410912,2430229,2420630,2399799,2368018,2350752,2320346,2293149,2243695,2197602,2144277,2098032,2052347,2018325
DG,2509168,2479781,2468755,2446239,2408834,2366938,2314771,2243757,2153737,2135203,2106926,2091564,2064510,2040311,1996310,1955299,1907854,1866707,1826059,1795788
DJ,1469868,1515009,1542394,1521598,1541362,1556008,1559587,1548901,1523628,1510516,1490512,1479644,1460505,1443386,1412258,1383246,1349681,1320572,1291816,1270401
GB,2651702,2630443,2677768,2684814,2690815,2693747,2683356,2649023,2588479,2566203,2532218,2513755,2481241,2452158,2399275,2349986,2292964,2243512,2194659,2158278
GG,10625127,11618962,12423017,13220552,13644535,13900568,13970453,13845508,13556370,13439711,13261728,13165035,12994753,12842440,12565482,12307349,12008714,11749726,11493875,11303341
GJ,1445390,1493632,1505906,1496093,1491177,1478923,1457552,1423493,1377121,1365270,1347189,1337366,1320067,1304594,1276459,1250236,1219899,1193589,1167598,1148242
GN,3110041,3217263,3330230,3385992,3414375,3424536,3404848,3347183,3253934,3225932,3183210,3160000,3119127,3082567,3016088,2954128,2882446,2820281,2758869,2713135
GW,1488881,1488794,1516636,1531889,1549909,1569101,1583246,1583911,1567999,1554505,1533918,1522734,1503038,1485420,1453385,1423528,1388986,1359030,1329437,1307399
IC,2581406,2722990,2882868,2978706,3079506,3151654,3186661,3180264,3136388,3109397,3068219,3045848,3006451,2971212,2907135,2847413,2778321,2718401,2659207,2615125
JB,1816604,1795819,1835125,1823507,1815361,1809662,1800104,1777661,1739489,1724519,1701681,1689273,1667423,1647879,1612341,1579218,1540898,1507665,1474835,1450386
JJ,541833,547917,599252,676454,722665,759107,785641,800402,804013,797094,786538,780803,770703,761669,745243,729933,712221,696860,681685,670384
JN,1851257,1777282,1796578,1793547,1787283,1787400,1784651,1770347,1740694,1725714,1702860,1690444,1668579,1649021,1613458,1580312,1541966,1508710,1475857,1451391
SU,10028631,10088611,9941162,9635114,9545279,9428800,9264390,9063044,8813150,8737308,8621599,8558738,8448035,8349015,8168961,8001146,7807000,7638628,7472296,7348428
US,1071339,1099035,1163719,1172306,1185090,1188098,1177078,1150930,1112705,1103129,1088520,1080583,1066606,1054104,1031371,1010183,985671,964413,943412,927773
