# File: T&D_loss_factor.csv
# Title: T&D loss factor
# Units: ratio
# Source: 한국전력/2017년 한국전력통계 (제 87호)
# Column types: cnn
# ----------
state,year,value
SU,1971,0.230321
IC,1971,0.230321
DJ,1971,0.230321
DG,1971,0.230321
GJ,1971,0.230321
BS,1971,0.230321
US,1971,0.230321
GG,1971,0.230321
GW,1971,0.230321
CB,1971,0.230321
CN,1971,0.230321
JB,1971,0.230321
JN,1971,0.230321
GB,1971,0.230321
GN,1971,0.230321
JJ,1971,0.230321
SU,1972,0.224003
IC,1972,0.224003
DJ,1972,0.224003
DG,1972,0.224003
GJ,1972,0.224003
BS,1972,0.224003
US,1972,0.224003
GG,1972,0.224003
GW,1972,0.224003
CB,1972,0.224003
CN,1972,0.224003
JB,1972,0.224003
JN,1972,0.224003
GB,1972,0.224003
GN,1972,0.224003
JJ,1972,0.224003
SU,1973,0.217685
IC,1973,0.217685
DJ,1973,0.217685
DG,1973,0.217685
GJ,1973,0.217685
BS,1973,0.217685
US,1973,0.217685
GG,1973,0.217685
GW,1973,0.217685
CB,1973,0.217685
CN,1973,0.217685
JB,1973,0.217685
JN,1973,0.217685
GB,1973,0.217685
GN,1973,0.217685
JJ,1973,0.217685
SU,1974,0.211367
IC,1974,0.211367
DJ,1974,0.211367
DG,1974,0.211367
GJ,1974,0.211367
BS,1974,0.211367
US,1974,0.211367
GG,1974,0.211367
GW,1974,0.211367
CB,1974,0.211367
CN,1974,0.211367
JB,1974,0.211367
JN,1974,0.211367
GB,1974,0.211367
GN,1974,0.211367
JJ,1974,0.211367
SU,1975,0.205049
IC,1975,0.205049
DJ,1975,0.205049
DG,1975,0.205049
GJ,1975,0.205049
BS,1975,0.205049
US,1975,0.205049
GG,1975,0.205049
GW,1975,0.205049
CB,1975,0.205049
CN,1975,0.205049
JB,1975,0.205049
JN,1975,0.205049
GB,1975,0.205049
GN,1975,0.205049
JJ,1975,0.205049
SU,1976,0.198731
IC,1976,0.198731
DJ,1976,0.198731
DG,1976,0.198731
GJ,1976,0.198731
BS,1976,0.198731
US,1976,0.198731
GG,1976,0.198731
GW,1976,0.198731
CB,1976,0.198731
CN,1976,0.198731
JB,1976,0.198731
JN,1976,0.198731
GB,1976,0.198731
GN,1976,0.198731
JJ,1976,0.198731
SU,1977,0.192413
IC,1977,0.192413
DJ,1977,0.192413
DG,1977,0.192413
GJ,1977,0.192413
BS,1977,0.192413
US,1977,0.192413
GG,1977,0.192413
GW,1977,0.192413
CB,1977,0.192413
CN,1977,0.192413
JB,1977,0.192413
JN,1977,0.192413
GB,1977,0.192413
GN,1977,0.192413
JJ,1977,0.192413
SU,1978,0.186095
IC,1978,0.186095
DJ,1978,0.186095
DG,1978,0.186095
GJ,1978,0.186095
BS,1978,0.186095
US,1978,0.186095
GG,1978,0.186095
GW,1978,0.186095
CB,1978,0.186095
CN,1978,0.186095
JB,1978,0.186095
JN,1978,0.186095
GB,1978,0.186095
GN,1978,0.186095
JJ,1978,0.186095
SU,1979,0.179777
IC,1979,0.179777
DJ,1979,0.179777
DG,1979,0.179777
GJ,1979,0.179777
BS,1979,0.179777
US,1979,0.179777
GG,1979,0.179777
GW,1979,0.179777
CB,1979,0.179777
CN,1979,0.179777
JB,1979,0.179777
JN,1979,0.179777
GB,1979,0.179777
GN,1979,0.179777
JJ,1979,0.179777
SU,1980,0.173459
IC,1980,0.173459
DJ,1980,0.173459
DG,1980,0.173459
GJ,1980,0.173459
BS,1980,0.173459
US,1980,0.173459
GG,1980,0.173459
GW,1980,0.173459
CB,1980,0.173459
CN,1980,0.173459
JB,1980,0.173459
JN,1980,0.173459
GB,1980,0.173459
GN,1980,0.173459
JJ,1980,0.173459
SU,1981,0.167141
IC,1981,0.167141
DJ,1981,0.167141
DG,1981,0.167141
GJ,1981,0.167141
BS,1981,0.167141
US,1981,0.167141
GG,1981,0.167141
GW,1981,0.167141
CB,1981,0.167141
CN,1981,0.167141
JB,1981,0.167141
JN,1981,0.167141
GB,1981,0.167141
GN,1981,0.167141
JJ,1981,0.167141
SU,1982,0.160823
IC,1982,0.160823
DJ,1982,0.160823
DG,1982,0.160823
GJ,1982,0.160823
BS,1982,0.160823
US,1982,0.160823
GG,1982,0.160823
GW,1982,0.160823
CB,1982,0.160823
CN,1982,0.160823
JB,1982,0.160823
JN,1982,0.160823
GB,1982,0.160823
GN,1982,0.160823
JJ,1982,0.160823
SU,1983,0.154505
IC,1983,0.154505
DJ,1983,0.154505
DG,1983,0.154505
GJ,1983,0.154505
BS,1983,0.154505
US,1983,0.154505
GG,1983,0.154505
GW,1983,0.154505
CB,1983,0.154505
CN,1983,0.154505
JB,1983,0.154505
JN,1983,0.154505
GB,1983,0.154505
GN,1983,0.154505
JJ,1983,0.154505
SU,1984,0.148187
IC,1984,0.148187
DJ,1984,0.148187
DG,1984,0.148187
GJ,1984,0.148187
BS,1984,0.148187
US,1984,0.148187
