# File: auxiliary_use_factor.csv
# Title: 1971-2010 Auxiliary use factor
# Units: ratio
# Source: 한국전력/2017년 한국전력통계 (제 87호)
# Column types: cnn
# ----------
state,year,value
SU,1971,0.049554
IC,1971,0.049554
DJ,1971,0.049554
DG,1971,0.049554
GJ,1971,0.049554
BS,1971,0.049554
US,1971,0.049554
GG,1971,0.049554
GW,1971,0.049554
CB,1971,0.049554
CN,1971,0.049554
JB,1971,0.049554
JN,1971,0.049554
GB,1971,0.049554
GN,1971,0.049554
JJ,1971,0.049554
SU,1972,0.049469
IC,1972,0.049469
DJ,1972,0.049469
DG,1972,0.049469
GJ,1972,0.049469
BS,1972,0.049469
US,1972,0.049469
GG,1972,0.049469
GW,1972,0.049469
CB,1972,0.049469
CN,1972,0.049469
JB,1972,0.049469
JN,1972,0.049469
GB,1972,0.049469
GN,1972,0.049469
JJ,1972,0.049469
SU,1973,0.049385
IC,1973,0.049385
DJ,1973,0.049385
DG,1973,0.049385
GJ,1973,0.049385
BS,1973,0.049385
US,1973,0.049385
GG,1973,0.049385
GW,1973,0.049385
CB,1973,0.049385
CN,1973,0.049385
JB,1973,0.049385
JN,1973,0.049385
GB,1973,0.049385
GN,1973,0.049385
JJ,1973,0.049385
SU,1974,0.0493
IC,1974,0.0493
DJ,1974,0.0493
DG,1974,0.0493
GJ,1974,0.0493
BS,1974,0.0493
US,1974,0.0493
GG,1974,0.0493
GW,1974,0.0493
CB,1974,0.0493
CN,1974,0.0493
JB,1974,0.0493
JN,1974,0.0493
GB,1974,0.0493
GN,1974,0.0493
JJ,1974,0.0493
SU,1975,0.049215
IC,1975,0.049215
DJ,1975,0.049215
DG,1975,0.049215
GJ,1975,0.049215
BS,1975,0.049215
US,1975,0.049215
GG,1975,0.049215
GW,1975,0.049215
CB,1975,0.049215
CN,1975,0.049215
JB,1975,0.049215
JN,1975,0.049215
GB,1975,0.049215
GN,1975,0.049215
JJ,1975,0.049215
SU,1976,0.049131
IC,1976,0.049131
DJ,1976,0.049131
DG,1976,0.049131
GJ,1976,0.049131
BS,1976,0.049131
US,1976,0.049131
GG,1976,0.049131
GW,1976,0.049131
CB,1976,0.049131
CN,1976,0.049131
JB,1976,0.049131
JN,1976,0.049131
GB,1976,0.049131
GN,1976,0.049131
JJ,1976,0.049131
SU,1977,0.049046
IC,1977,0.049046
DJ,1977,0.049046
DG,1977,0.049046
GJ,1977,0.049046
BS,1977,0.049046
US,1977,0.049046
GG,1977,0.049046
GW,1977,0.049046
CB,1977,0.049046
CN,1977,0.049046
JB,1977,0.049046
JN,1977,0.049046
GB,1977,0.049046
GN,1977,0.049046
JJ,1977,0.049046
SU,1978,0.048962
IC,1978,0.048962
DJ,1978,0.048962
DG,1978,0.048962
GJ,1978,0.048962
BS,1978,0.048962
US,1978,0.048962
GG,1978,0.048962
GW,1978,0.048962
CB,1978,0.048962
CN,1978,0.048962
JB,1978,0.048962
JN,1978,0.048962
GB,1978,0.048962
GN,1978,0.048962
JJ,1978,0.048962
SU,1979,0.048877
IC,1979,0.048877
DJ,1979,0.048877
DG,1979,0.048877
GJ,1979,0.048877
BS,1979,0.048877
US,1979,0.048877
GG,1979,0.048877
GW,1979,0.048877
CB,1979,0.048877
CN,1979,0.048877
JB,1979,0.048877
JN,1979,0.048877
GB,1979,0.048877
GN,1979,0.048877
JJ,1979,0.048877
SU,1980,0.048792
IC,1980,0.048792
DJ,1980,0.048792
DG,1980,0.048792
GJ,1980,0.048792
BS,1980,0.048792
US,1980,0.048792
GG,1980,0.048792
GW,1980,0.048792
CB,1980,0.048792
CN,1980,0.048792
JB,1980,0.048792
JN,1980,0.048792
GB,1980,0.048792
GN,1980,0.048792
JJ,1980,0.048792
SU,1981,0.048708
IC,1981,0.048708
DJ,1981,0.048708
DG,1981,0.048708
GJ,1981,0.048708
BS,1981,0.048708
US,1981,0.048708
GG,1981,0.048708
GW,1981,0.048708
CB,1981,0.048708
CN,1981,0.048708
JB,1981,0.048708
JN,1981,0.048708
GB,1981,0.048708
GN,1981,0.048708
JJ,1981,0.048708
SU,1982,0.048623
IC,1982,0.048623
DJ,1982,0.048623
DG,1982,0.048623
GJ,1982,0.048623
BS,1982,0.048623
US,1982,0.048623
GG,1982,0.048623
GW,1982,0.048623
CB,1982,0.048623
CN,1982,0.048623
JB,1982,0.048623
JN,1982,0.048623
GB,1982,0.048623
GN,1982,0.048623
JJ,1982,0.048623
SU,1983,0.048538
IC,1983,0.048538
DJ,1983,0.048538
DG,1983,0.048538
GJ,1983,0.048538
BS,1983,0.048538
US,1983,0.048538
GG,1983,0.048538
GW,1983,0.048538
CB,1983,0.048538
CN,1983,0.048538
JB,1983,0.048538
JN,1983,0.048538
GB,1983,0.048538
GN,1983,0.048538
JJ,1983,0.048538
SU,1984,0.048454
IC,1984,0.048454
DJ,1984,0.048454
DG,1984,0.048454
GJ,1984,0.048454
BS,1984,0.048454
US,1984,0.048454
GG,1984,0.048454
GW,1984,0.048454
CB,1984,0.048454
CN,1984,0.048454
JB,1984,0.048454
JN,1984,0.048454
GB,1984,0.048454
GN,1984,0.048454
JJ,1984,0.048454
SU,1985,0.048369
IC,1985,0.048369
DJ,1985,0.048369
DG,1985,0.048369
GJ,1985,0.048369
BS,1985,0.048369
US,1985,0.048369
GG,1985,0.048369
GW,1985,0.048369
CB,1985,0.048369
CN,1985,0.048369
JB,1985,0.048369
JN,1985,0.048369
GB,1985,0.048369
GN,1985,0.048369
JJ,1985,0.048369
SU,1986,0.048285
IC,1986,0.048285
DJ,1986,0.048285
DG,1986,0.048285
GJ,1986,0.048285
BS,1986,0.048285
US,1986,0.048285
GG,1986,0.048285
GW,1986,0.048285
CB,1986,0.048285
CN,1986,0.048285
JB,1986,0.048285
JN,1986,0.048285
GB,1986,0.048285
GN,1986,0.048285
JJ,1986,0.048285
SU,1987,0.0482
IC,1987,0.0482
DJ,1987,0.0482
DG,1987,0.0482
GJ,1987,0.0482
BS,1987,0.0482
US,1987,0.0482
GG,1987,0.0482
GW,1987,0.0482
CB,1987,0.0482
CN,1987,0.0482
JB,1987,0.0482
JN,1987,0.0482
GB,1987,0.0482
GN,1987,0.0482
JJ,1987,0.0482
SU,1988,0.048115
IC,1988,0.048115
DJ,1988,0.048115
DG,1988,0.048115
GJ,1988,0.048115
BS,1988,0.048115
US,1988,0.048115
GG,1988,0.048115
GW,1988,0.048115
CB,1988,0.048115
CN,1988,0.048115
JB,1988,0.048115
JN,1988,0.048115
GB,1988,0.048115
GN,1988,0.048115
JJ,1988,0.048115
SU,1989,0.048031
IC,1989,0.048031
DJ,1989,0.048031
DG,1989,0.048031
GJ,1989,0.048031
BS,1989,0.048031
US,1989,0.048031
GG,1989,0.048031
GW,1989,0.048031
CB,1989,0.048031
CN,1989,0.048031
JB,1989,0.048031
JN,1989,0.048031
GB,1989,0.048031
GN,1989,0.048031
JJ,1989,0.048031
SU,1990,0.047946
IC,1990,0.047946
DJ,1990,0.047946
DG,1990,0.047946
GJ,1990,0.047946
BS,1990,0.047946
US,1990,0.047946
GG,1990,0.047946
GW,1990,0.047946
CB,1990,0.047946
CN,1990,0.047946
JB,1990,0.047946
JN,1990,0.047946
GB,1990,0.047946
GN,1990,0.047946
JJ,1990,0.047946
SU,1991,0.047862
IC,1991,0.047862
DJ,1991,0.047862
DG,1991,0.047862
GJ,1991,0.047862
BS,1991,0.047862
US,1991,0.047862
GG,1991,0.047862
GW,1991,0.047862
CB,1991,0.047862
CN,1991,0.047862
JB,1991,0.047862
JN,1991,0.047862
GB,1991,0.047862
GN,1991,0.047862
JJ,1991,0.047862
SU,1992,0.047777
IC,1992,0.047777
DJ,1992,0.047777
DG,1992,0.047777
GJ,1992,0.047777
BS,1992,0.047777
US,1992,0.047777
GG,1992,0.047777
GW,1992,0.047777
CB,1992,0.047777
CN,1992,0.047777
JB,1992,0.047777
JN,1992,0.047777
GB,1992,0.047777
GN,1992,0.047777
JJ,1992,0.047777
SU,1993,0.047692
IC,1993,0.047692
DJ,1993,0.047692
DG,1993,0.047692
GJ,1993,0.047692
BS,1993,0.047692
US,1993,0.047692
GG,1993,0.047692
GW,1993,0.047692
CB,1993,0.047692
CN,1993,0.047692
JB,1993,0.047692
JN,1993,0.047692
GB,1993,0.047692
GN,1993,0.047692
JJ,1993,0.047692
SU,1994,0.047608
IC,1994,0.047608
DJ,1994,0.047608
DG,1994,0.047608
GJ,1994,0.047608
BS,1994,0.047608
US,1994,0.047608
GG,1994,0.047608
GW,1994,0.047608
CB,1994,0.047608
CN,1994,0.047608
JB,1994,0.047608
JN,1994,0.047608
GB,1994,0.047608
GN,1994,0.047608
JJ,1994,0.047608
SU,1995,0.047523
IC,1995,0.047523
DJ,1995,0.047523
DG,1995,0.047523
GJ,1995,0.047523
BS,1995,0.047523
US,1995,0.047523
GG,1995,0.047523
GW,1995,0.047523
CB,1995,0.047523
CN,1995,0.047523
JB,1995,0.047523
JN,1995,0.047523
GB,1995,0.047523
GN,1995,0.047523
JJ,1995,0.047523
SU,1996,0.047438
IC,1996,0.047438
DJ,1996,0.047438
DG,1996,0.047438
GJ,1996,0.047438
BS,1996,0.047438
US,1996,0.047438
GG,1996,0.047438
GW,1996,0.047438
CB,1996,0.047438
CN,1996,0.047438
JB,1996,0.047438
JN,1996,0.047438
GB,1996,0.047438
GN,1996,0.047438
JJ,1996,0.047438
SU,1997,0.047354
IC,1997,0.047354
DJ,1997,0.047354
DG,1997,0.047354
GJ,1997,0.047354
BS,1997,0.047354
US,1997,0.047354
GG,1997,0.047354
GW,1997,0.047354
CB,1997,0.047354
CN,1997,0.047354
JB,1997,0.047354
JN,1997,0.047354
GB,1997,0.047354
GN,1997,0.047354
JJ,1997,0.047354
SU,1998,0.047269
IC,1998,0.047269
DJ,1998,0.047269
DG,1998,0.047269
GJ,1998,0.047269
BS,1998,0.047269
US,1998,0.047269
GG,1998,0.047269
GW,1998,0.047269
