# File: auxiliary_use_value.csv
# Title: 1971-2010 Auxiliary use value
# Units: Kilo TOE
# Source: EB*auxiliary_factor
# Column types: cnn
# ----------
state,year,value
SU,1971,5.899847368755852
IC,1971,293.8524669903645
DJ,1971,0.665044530140304
DG,1971,0.84371177714022
GJ,1971,0.159256447281324
BS,1971,166.76387958122453
US,1971,45.81072488746321
GG,1971,101.39020527951556
GW,1971,51.33931926274674
CB,1971,6.733824950108268
CN,1971,503.0473919445105
JB,1971,30.60419212428268
JN,1971,296.102041238878
GB,1971,305.5856075355104
GN,1971,296.52013532954203
JJ,1971,12.264983513970156
SU,1972,5.889727357730622
IC,1972,293.3484217126032
DJ,1972,0.663903778938344
DG,1972,0.84226455792367
GJ,1972,0.158983274620814
BS,1972,166.47782941848482
US,1972,45.73214572906158
GG,1972,101.21629061170349
GW,1972,51.25125690375789
CB,1972,6.722274416937198
CN,1972,502.18451451150236
JB,1972,30.551696738833186
JN,1972,295.5941372653278
GB,1972,305.0614363961368
GN,1972,296.01151419899736
JJ,1972,12.243945381857966
SU,1973,5.87972640565863
IC,1973,292.8503063792862
DJ,1973,0.6627764483387599
DG,1973,0.84083436481555
GJ,1973,0.15871331575630998
BS,1973,166.1951445517773
US,1973,45.65449103134703
GG,1973,101.04442199880687
GW,1973,51.16423057252185
CB,1973,6.71085977239167
CN,1973,501.3317885777061
JB,1973,30.49981894615369
JN,1973,295.09220863264295
GB,1973,304.54343197605
GN,1973,295.50887684645903
JJ,1973,12.223154757182389
SU,1974,5.8696063946334
IC,1974,292.346261101525
DJ,1974,0.6616356971367999
DG,1974,0.839387145599
GJ,1974,0.15844014309579998
BS,1974,165.9090943890376
US,1974,45.5759118729454
GG,1974,100.8705073309948
GW,1974,51.076168213532995
CB,1974,6.699309239220599
CN,1974,500.468911144698
JB,1974,30.4473235607042
JN,1974,294.58430465909277
GB,1974,304.0192608366764
GN,1974,295.00025571591436
JJ,1974,12.202116625070198
SU,1975,5.8594863836081705
IC,1975,291.84221582376375
DJ,1975,0.66049494593484
DG,1975,0.8379399263824501
GJ,1975,0.15816697043529
BS,1975,165.62304422629788
US,1975,45.497332714543774
GG,1975,100.69659266318276
GW,1975,50.98810585454415
CB,1975,6.6877587060495305
CN,1975,499.6060337116899
JB,1975,30.394828175254712
JN,1975,294.07640068554264
GB,1975,303.49508969730283
GN,1975,294.4916345853697
JJ,1975,12.18107849295801
SU,1976,5.849485431536178
IC,1976,291.34410049044675
DJ,1976,0.659367615335256
DG,1976,0.8365097332743301
GJ,1976,0.157897011570786
BS,1976,165.3403593595904
US,1976,45.41967801682922
GG,1976,100.52472405028612
GW,1976,50.90107952330811
CB,1976,6.676344061504002
CN,1976,498.75330777789367
JB,1976,30.342950382575218
JN,1976,293.57447205285774
GB,1976,302.97708527721596
GN,1976,293.9889972328314
JJ,1976,12.160287868282435
SU,1977,5.839365420510948
IC,1977,290.8400552126855
DJ,1977,0.658226864133296
DG,1977,0.83506251405778
GJ,1977,0.15762383891027598
BS,1977,165.05430919685068
US,1977,45.341098858427586
GG,1977,100.35080938247405
GW,1977,50.81301716431926
CB,1977,6.664793528332932
CN,1977,497.89043034488554
JB,1977,30.290454997125725
JN,1977,293.0665680793076
GB,1977,302.4529141378424
GN,1977,293.48037610228675
JJ,1977,12.139249736170244
SU,1978,5.829364468438956
IC,1978,290.3419398793685
DJ,1978,0.657099533533712
DG,1978,0.83363232094966
GJ,1978,0.157353880045772
BS,1978,164.77162433014317
US,1978,45.263444160713036
GG,1978,100.17894076957744
GW,1978,50.72599083308322
CB,1978,6.653378883787404
CN,1978,497.0377044110893
JB,1978,30.23857720444623
JN,1978,292.5646394466227
GB,1978,301.93490971775554
GN,1978,292.9777387497485
JJ,1978,12.118459111494667
SU,1979,5.819244457413726
IC,1979,289.8378946016072
DJ,1979,0.655958782331752
DG,1979,0.83218510173311
GJ,1979,0.15708070738526198
BS,1979,164.48557416740346
US,1979,45.184865002311405
GG,1979,100.00502610176537
GW,1979,50.637928474094366
CB,1979,6.641828350616334
CN,1979,496.1748269780812
JB,1979,30.186081818996737
JN,1979,292.05673547307254
GB,1979,301.410738578382
GN,1979,292.4691176192038
JJ,1979,12.097420979382477
SU,1980,5.809124446388497
IC,1980,289.333849323846
DJ,1980,0.654818031129792
DG,1980,0.8307378825165601
GJ,1980,0.156807534724752
BS,1980,164.19952400466374
US,1980,45.106285843909774
GG,1980,99.83111143395332
