# File: korea_re_technical_potential.csv
# Title: USA Renewable Energy Technical Potential
# Source:  http://www.nrel.gov/gis/docs/us_re_technical_potential.xlsx
# Units: In column names
# Report Table Number-->,Table 2, Table 3, Table 4, Table 5, Table 6, Table 7, Table 8, Table 9, Table 10, Table 11
# Column types: ciiiiiiiiiiiiiiiiiiiiiiiiiiiiii 
# ----------
State,Urban_Utility_scale_PV_GWh,Urban_Utility_scale_PV_GW,Urban_Utility_scale_PV_km2,Rural_Utility_scale_PV_GWh,Rural_Utility_scale_PV_GW,Rural_Utility_scale_PV_km2,Rooftop_PV_GWh,Rooftop_PV_GW,CSP_GWh,CSP_GW,CSP_km2,Onshore_Wind_GWh,Onshore_Wind_GW,Onshore_Wind_km2,Offshore_Wind_GWh,Offshore_Wind_GW,Offshore_Wind_km2,Biopower_Solid_GWh,Biopower_Solid_GW,Biopower_Solid_BDT,Biopower_Gaseous_GWh,Biopower_Gaseous_GW,Biopower_Gaseous_Tonnes_CH4,Geothermal_Hydrothermal_GWh,Geothermal_Hydrothermal_GW,EGS_Geothermal_GWh,EGS_Geothermal_GW,Hydropower_GWh,Hydropower_GW,Hydropower_Count_of_Sites
Seoul,35851,20,426,3706839,2115,44058,15476,13,0,0,0,283,0,24,0,0,0,11193,1,10175869,1533,0,326187,0,0,0,0,4103,1,2435
Incheon,166,0,2,8282976,9005,187608,NA,1,0,0,0,1373433,493,98669,0,0,0,513,0,466797,62,0,13157,0,0,0,0,23676,5,3053
Daejeon,121306,53,1096,11867694,5147,107231,22736,15,0,0,0,26036,11,2181,0,0,0,1088,0,988705,837,0,178189,0,0,0,0,1303,0,1958
Daegu,28961,16,332,4986389,2747,57239,8485,7,0,0,0,22892,9,1840,0,0,0,14381,2,13074040,1063,0,226178,0,0,0,0,6093,1,3268
Gwangju,246008,111,2321,8855917,4010,83549,106411,76,0,0,0,89862,34,6822,0,0,0,12408,2,11280245,15511,2,3300211,0,0,0,0,30024,7,9692
Busan,43471,19,399,10238084,4514,94046,16162,12,0,0,0,1096036,387,77444,0,0,0,2913,0,2648462,1224,0,260470,0,0,0,0,7789,2,5060
Ulsan,7717,5,101,19628,12,256,6616,6,0,0,0,62,0,5,0,0,0,495,0,449775,415,0,88227,0,0,0,0,922,0,659
Gyeonggi,14856,9,190,272333,167,3483,2185,2,0,0,0,22,0,2,0,0,0,512,0,465802,385,0,82014,0,0,0,0,31,0,25
Gangwon,8,0,0,0,0,0,2490,2,0,0,0,0,0,0,0,0,0,62,0,56180,5,0,978,0,0,0,0,1,0,2
Chungbuk,72787,40,830,5137347,2813,58597,63987,49,0,0,0,1,0,0,0,0,0,9664,1,8785824,3693,0,785788,0,0,0,0,682,0,493
Chungnam,43167,24,506,5492183,3088,64343,31116,25,0,0,0,323,0,26,0,0,0,14682,2,13347586,2221,0,472547,0,0,0,0,1988,0,2100
Jeonbuk,3725,2,35,38033,21,431,NA,3,0,0,0,7787,2,494,0,0,0,524,0,476459,200,0,42603,0,0,0,0,2602,1,437
Jeonnam,23195,12,251,3936848,2045,42613,4051,3,0,0,0,44320,18,3615,0,0,0,5776,1,5250560,183,0,38831,0,0,0,0,18758,4,6706
Gyeongbuk,103552,64,1325,8090985,4969,103524,30086,26,0,0,0,649468,250,49976,0,0,0,27738,4,25216443,4222,1,898345,0,0,0,0,4883,1,1330
Gyeongnam,98815,61,1274,4876186,3019,62891,17151,15,0,0,0,377604,148,29646,0,0,0,14942,2,13583318,2978,0,633660,0,0,0,0,2394,1,1142
Jeju,27092,16,324,6994159,4021,83763,8646,7,0,0,0,1723588,571,114143,0,0,0,27502,3,25002253,1425,0,303277,0,0,0,0,2818,1,2398
