# File: nuclear_fixedOutput.csv
# Title: nuclear_fixedOutput
# Units: EJ
# Source: raw data/nuclear_gen.R
# Column types: cnn
# ----------
region,year,value
SU,1975,0
SU,1990,0
SU,2005,0
SU,2010,0
SU,2015,0
SU,2020,0
SU,2025,0
SU,2030,0
SU,2035,0
SU,2040,0
SU,2045,0
SU,2050,0
SU,2055,0
SU,2060,0
SU,2065,0
SU,2070,0
SU,2075,0
SU,2080,0
SU,2085,0
SU,2090,0
SU,2095,0
SU,2100,0
IC,1975,0
IC,1990,0
IC,2005,0
IC,2010,0
IC,2015,0
IC,2020,0
IC,2025,0
IC,2030,0
IC,2035,0
IC,2040,0
IC,2045,0
IC,2050,0
IC,2055,0
IC,2060,0
IC,2065,0
IC,2070,0
IC,2075,0
IC,2080,0
IC,2085,0
IC,2090,0
IC,2095,0
IC,2100,0
DJ,1975,0
DJ,1990,0
DJ,2005,0
DJ,2010,0
DJ,2015,0
DJ,2020,0
DJ,2025,0
DJ,2030,0
DJ,2035,0
DJ,2040,0
DJ,2045,0
DJ,2050,0
DJ,2055,0
DJ,2060,0
DJ,2065,0
DJ,2070,0
DJ,2075,0
DJ,2080,0
DJ,2085,0
DJ,2090,0
DJ,2095,0
DJ,2100,0
DG,1975,0
DG,1990,0
DG,2005,0
DG,2010,0
DG,2015,0
DG,2020,0
DG,2025,0
DG,2030,0
DG,2035,0
DG,2040,0
DG,2045,0
DG,2050,0
DG,2055,0
DG,2060,0
DG,2065,0
DG,2070,0
DG,2075,0
DG,2080,0
DG,2085,0
DG,2090,0
DG,2095,0
DG,2100,0
GJ,1975,0
GJ,1990,0
GJ,2005,0
GJ,2010,0
GJ,2015,0
GJ,2020,0
GJ,2025,0
GJ,2030,0
GJ,2035,0
GJ,2040,0
GJ,2045,0
GJ,2050,0
GJ,2055,0
GJ,2060,0
GJ,2065,0
GJ,2070,0
GJ,2075,0
GJ,2080,0
GJ,2085,0
GJ,2090,0
GJ,2095,0
GJ,2100,0
BS,1975,0
BS,1990,0.0790767648
BS,2005,0.09518837760000001
BS,2010,0.10108060560000001
BS,2015,0.14781112920000003
BS,2020,0.11841928340991835
BS,2025,0.07566794687560664
BS,2030,0.050548173664930036
BS,2035,0.049796044363347086
BS,2040,0.04904391506176408
BS,2045,0.04829178576018114
BS,2050,0.047539656458598145
BS,2055,0
BS,2060,0
BS,2065,0
BS,2070,0
BS,2075,0
BS,2080,0
BS,2085,0
BS,2090,0
BS,2095,0
BS,2100,0
US,1975,0
US,1990,0
US,2005,0
US,2010,0
US,2015,0
US,2020,0.07287340517533436
US,2025,0.1436408483062363
US,2030,0.14153488626180408
US,2035,0.13942892421737185
US,2040,0.13732296217293943
US,2045,0.13521700012850718
US,2050,0.1331110380840748
US,2055,0.13100507603964254
US,2060,0.12889911399521017
US,2065,0.12679315195077792
US,2070,0.12468718990634568
US,2075,0.12258122786191328
US,2080,0.06023763290874053
US,2085,0
US,2090,0
US,2095,0
US,2100,0
GG,1975,0
GG,1990,0
GG,2005,0
GG,2010,0
GG,2015,0
GG,2020,0
GG,2025,0
GG,2030,0
GG,2035,0
GG,2040,0
GG,2045,0
GG,2050,0
GG,2055,0
GG,2060,0
GG,2065,0
GG,2070,0
GG,2075,0
GG,2080,0
GG,2085,0
GG,2090,0
GG,2095,0
GG,2100,0
GW,1975,0
GW,1990,0
GW,2005,0
GW,2010,0
GW,2015,0
GW,2020,0
GW,2025,0
GW,2030,0
GW,2035,0
GW,2040,0
GW,2045,0
GW,2050,0
GW,2055,0
GW,2060,0
GW,2065,0
GW,2070,0
GW,2075,0
