# File: regional_trn_road_mode_share.csv
# Title: Regional Roadsector Mode Share in terms of energy use
# Units: ratio
# Source: TS(Korea Transportation Safety Authority), KEA(Korea Energy Agency)
# Column types: ccn
# ----------
region,GCAM_mode,share
BS,Compact Car,0.3207921793299556
CB,Compact Car,0.25349238795848433
CN,Compact Car,0.24892900725254438
DG,Compact Car,0.29269376608676173
DJ,Compact Car,0.31647038019183227
GB,Compact Car,0.24578581588029275
GG,Compact Car,0.2558845212285346
GJ,Compact Car,0.3030923753139324
GN,Compact Car,0.29492118889096286
GW,Compact Car,0.2642224655032475
IC,Compact Car,0.28276882465227743
JB,Compact Car,0.26191942343304253
JJ,Compact Car,0.33403696085935736
JN,Compact Car,0.22596844479975817
SU,Compact Car,0.37620173328941797
US,Compact Car,0.304711239338604
BS,Large Car,0.11201607934813199
CB,Large Car,0.07033020602060643
CN,Large Car,0.07580708699452338
DG,Large Car,0.10675058340570766
DJ,Large Car,0.0877433459431458
GB,Large Car,0.07615556445024697
GG,Large Car,0.08870351340459434
GJ,Large Car,0.09866381330360424
GN,Large Car,0.10894875028479324
GW,Large Car,0.06266487420404773
IC,Large Car,0.0775089905355809
JB,Large Car,0.07800934186413505
JJ,Large Car,0.031998515713465354
JN,Large Car,0.07671432785216535
SU,Large Car,0.12076347565733964
US,Large Car,0.10503885777603617
BS,Light Truck and SUV,0.1356734318049667
CB,Light Truck and SUV,0.1631160495264815
CN,Light Truck and SUV,0.1609526125414564
DG,Light Truck and SUV,0.1475050049302686
DJ,Light Truck and SUV,0.16542200968246037
GB,Light Truck and SUV,0.1495025149961038
GG,Light Truck and SUV,0.1805823921691882
GJ,Light Truck and SUV,0.17074110336213605
GN,Light Truck and SUV,0.13753043995266184
GW,Light Truck and SUV,0.183831488794251
IC,Light Truck and SUV,0.18060857316600876
JB,Light Truck and SUV,0.1629946346369984
JJ,Light Truck and SUV,0.13175958834415816
JN,Light Truck and SUV,0.1557015455236857
SU,Light Truck and SUV,0.15174180891108316
US,Light Truck and SUV,0.19049018379732244
BS,Subcompact Car,0.06514254930304597
CB,Subcompact Car,0.07012068989899638
CN,Subcompact Car,0.06673643430542654
DG,Subcompact Car,0.06998923471078546
DJ,Subcompact Car,0.07936714015886853
GB,Subcompact Car,0.07688552909083896
GG,Subcompact Car,0.06548614389348456
GJ,Subcompact Car,0.05960980410610611
GN,Subcompact Car,0.07391194162988377
GW,Subcompact Car,0.07730246085981007
IC,Subcompact Car,0.07046215635435346
JB,Subcompact Car,0.05930133852453409
JJ,Subcompact Car,0.07803696955407728
JN,Subcompact Car,0.05312991318408706
SU,Subcompact Car,0.04952247475343826
US,Subcompact Car,0.0805837966214242
BS,Truck,0.30571214955407505
CB,Truck,0.34653530480223416
CN,Truck,0.34857933457940576
DG,Truck,0.3254689585877522
DJ,Truck,0.28517556536750666
GB,Truck,0.36064655998151995
GG,Truck,0.31275781667409047
GJ,Truck,0.30579395763022466
GN,Truck,0.2981708789468683
GW,Truck,0.3141621724569832
IC,Truck,0.3072751557524778
JB,Truck,0.3528855431302838
JJ,Truck,0.2975975019462098
JN,Truck,0.3822693494740719
SU,Truck,0.2301563534021237
US,Truck,0.2638644631356711
BS,Bus,0.06066361065982467
CB,Bus,0.0964053617931972
CN,Bus,0.09899552432664342
DG,Bus,0.057592452278724365
DJ,Bus,0.06582155865618629
GB,Bus,0.09102401560099753
GG,Bus,0.09658561263010779
GJ,Bus,0.06209894628399658
GN,Bus,0.08651680029482994
GW,Bus,0.09781653818166043
IC,Bus,0.0813762995393016
JB,Bus,0.08488971841100616
JJ,Bus,0.12657046358273205
JN,Bus,0.1062164191662319
SU,Bus,0.07161415398659729
US,Bus,0.05531145933094205
